iban,date,currency,category,amount
FR96 8647 0480 60TX MWZ9 108B G31,2021-01-26,CZK,Food - Canned Goods,-3514.36
FO30 5870 2002 1233 54,2020-12-20,RUB,Pets,3130.86
MD45 BC5E Z1HL OJRV T12S XJFS,2023-10-04,EUR,Kitchen,-628.77
FR78 4409 8060 89CN FSIJ TGPX 653,2024-02-17,PLN,Food - Grains,1368.33
BR71 4420 2478 2145 3374 4932 663H P,2020-05-24,EUR,Food - Breakfast Foods,-598.63
SE27 2399 3125 9730 8843 2219,2022-11-02,PLN,Food - Pasta,1960.35
ME76 9756 8083 7214 6175 76,2024-08-28,SEK,Food - Sauces,699.25
FR90 4644 3538 73MP UQEO TCVY B32,2023-09-24,IDR,Home,-3157.4
ME02 1567 0666 0320 8597 67,2021-05-05,BRL,Fitness,-4701.68
BE92 8566 3606 2068,2024-08-12,VEF,Pets,-3364.26
BE32 4774 1081 6814,2021-05-17,THB,Food - Cheese,4618.2
GE91 VO74 4650 2233 2327 07,2023-05-06,GTQ,Outdoor,2392.0
BG14 DORB 2578 57FH UZ4V ZN,2020-03-16,DOP,Food - Spices,676.87
TN84 6249 7585 7389 9999 4891,2025-04-26,RUB,Food - Snacks,1476.9
TR39 6539 4HG6 XZQM IXU9 NAMP 8J,2025-08-10,JPY,Food - Snacks,-4023.58
PK59 FKJZ Q9SI IYS7 NSAW GC3F,2021-12-11,RUB,Kitchen,23.01
HR96 7283 5484 3865 2836 3,2023-09-15,CNY,Food - Beverages,-1679.41
IS32 3161 1335 6241 2063 9434 18,2025-09-07,SYP,Clothing,-828.99
MC20 4920 1375 72MI VKEO GWUU U27,2023-12-01,CNY,Food - Spices,-125.45
KZ50 622Y 8OQ6 WPYJ ZAKJ,2020-04-16,PEN,Food - Condiments,938.55
FR29 9926 1074 16KF BZHM R8HE K30,2023-10-14,EUR,Outdoor,2104.23
FR10 3688 4204 20GL XVEO RGOJ O25,2022-10-06,CNY,Travel,-1584.96
IL72 9195 0463 7286 3760 677,2024-06-08,PHP,Clothing - Tops,3399.03
IL20 9476 0675 8100 2256 846,2025-07-02,RUB,Food - Grains,19.92
MT98 KGRZ 8720 4TWZ HZNJ IVOM AOYX EVG,2021-08-19,UAH,Food - Frozen Desserts,-3361.84
GR93 6847 875M 6ZMS 1YOV K9I4 3NB,2023-09-17,VND,Pets,-1320.58
EE46 1803 8080 4337 2568,2021-11-07,CNY,Toys,-144.45
HU02 8659 0020 7758 7026 0081 7645,2020-12-14,CNY,Food - Spreads,3739.86
HU53 2799 0426 0982 3987 7831 0134,2021-12-22,CNY,Food - Frozen Foods,36.51
PS76 RITT XH5I KGGY 1DUD ZD1M WOZF 8,2023-04-04,PLN,Food - Fruits,-1461.53
